4 16666 66664
0 0 281.82546508697783 244.39583704250293
1 0 272.2681045635163 257.32887539529
2 0 306.17049792112135 320.7043250091221
3 0 324.01038416362087 212.26455757861584
0 1 337.72084095865534 289.65616211483945
1 1 276.3776115783264 229.00982510647444
2 1 234.03725534111436 306.18690509448953
3 1 332.72091637596833 266.8701758063092
0 2 330.4792494236494 255.3484602586943
1 2 271.0580711282836 195.63782814805967
2 2 236.4500611673338 305.5118187877121
3 2 336.30128648984953 209.0761260712323
0 3 296.59500998459026 281.9468154316331
1 3 303.4190409888745 293.74023868350235
2 3 305.9870539112117 296.120738818466
3 3 296.08580259369586 281.3595687879116
0 4 293.9637306018879 275.5053667666134
1 4 302.9760609118993 291.6662841215699
2 4 308.71027255708754 296.464888719473
3 4 296.2179938883497 273.7452753265845
0 5 303.4386437878947 339.0571759903728
1 5 296.3219704874533 317.21084095134125
2 5 294.4058281244236 305.9323073923085
3 5 304.620127865519 340.8151615536875
0 6 314.0934328364078 238.8511484706266
1 6 328.52161869572 260.6440432757057
2 6 302.3145044492662 265.29576785029894
3 6 273.07747282127144 241.21794718635357
0 7 339.28805480478354 288.7797917615631
1 7 283.2679811283 232.89014221546475
2 7 238.18574079639626 299.9949625383159
3 7 325.0917918727261 270.3062115447416
0 8 310.3816390731292 230.97113553914468
1 8 338.37369647368143 267.3283997332981
2 8 313.2249454184724 257.71280542045656
3 8 263.1362175314763 239.8840964559388
0 9 309.7782343264364 305.06034178922937
1 9 263.3197675726411 265.6066968089197
2 9 263.0295482762635 328.3110417559961
3 9 341.48223781207696 283.5789476707482
0 10 275.0971216113701 197.03188643258267
1 10 352.7321832490105 293.7803010512192
2 10 362.7671173328008 252.07328794795202
3 10 249.24061871678742 220.67434707035164
0 11 323.8763363523107 232.0431713943234
1 11 332.0254113738074 245.71013978949512
2 11 292.733809865375 258.41145187675846
3 11 270.5916256333918 231.7544105525088
0 12 322.832247887563 290.18292388653185
1 12 280.00170616375624 251.26461921947822
2 12 258.0352417192436 308.2569019787273
3 12 325.38848687556805 272.52679977904324
0 13 297.6648864188538 292.5432379762517
1 13 303.1888924278101 299.7830399825902
2 13 304.5754873558328 297.2351673943776
3 13 296.4172910219933 293.5108195810049
0 14 318.3939281900999 262.52898919973313
1 14 304.6318765302257 254.24363904193993
2 14 280.97376383490456 285.8557050418088
3 14 297.87748403330204 253.33197597813373
0 15 337.1745598383884 301.0093395540488
1 15 274.6170630291645 238.9055400176661
2 15 234.9222616481118 310.010713398205
3 15 335.08643343283904 281.77398228366866
0 16 278.2918703574627 227.22065007111266
1 16 334.8890893047182 298.4347902453409
2 16 346.99665316293664 269.5163547435411
3 16 265.02917319431725 241.86267444635536
0 17 293.15508277509576 254.55247680536758
1 17 319.690255298696 290.06843845574156
2 17 320.45635397243325 280.7732009339784
3 17 279.8564297844835 259.88768930230657
0 18 292.1913445580673 259.02433820933925
1 18 313.0895810332886 289.29358168566444
2 18 317.3264908810134 286.8671230557883
3 18 286.13163743501366 260.8943683388212
0 19 294.43058827379076 210.95536092858586
1 19 357.6062712516027 286.3275157209198
2 19 343.67303749839584 244.7532538289222
3 19 244.95981418943086 234.7027183217471
0 20 324.37841469334825 229.29583172024405
