4 16666 66664
0 0 321.87342584522577 223.6035680624349
1 0 321.15278455830946 227.08758053599865
2 0 320.6882050237264 229.43084618047578
3 0 320.18242693075354 229.46316339142865
0 1 334.4361850241861 246.85066024891205
1 1 335.76628392831395 244.0688142166209
2 1 336.62010447296234 242.57956692192886
3 1 338.33864470202855 243.18685456003774
0 2 336.7602780517959 194.19468374437503
1 2 337.5989004863832 193.746776538162
2 2 338.11743014971785 193.89507193121273
3 2 339.61261149071095 194.46122075549067
0 3 295.984662270259 283.26275659200314
1 3 295.8794472239393 283.84197791227166
2 3 295.8106754013272 284.2310658379109
3 3 295.67225418205896 284.1338288106305
0 4 296.05022640290144 276.8557942271513
1 4 295.8817022242531 277.75674619770245
2 4 295.7709383644369 278.358462892669
3 4 295.547810344226 278.23029125705546
0 5 304.89970261176586 340.0386789824166
1 5 305.04059078993515 339.2862229934589
2 5 305.1313756957979 338.72432948575647
3 5 305.27317944526135 338.8413274194679
0 6 274.2870520444059 240.78849093312215
1 6 274.68425059373146 241.381552434784
2 6 274.949351886656 241.84115555105296
3 6 275.19038244671606 241.43143441473404
0 7 326.8314036556898 250.69577606247722
1 7 328.17451414665817 247.8500407911225
2 7 329.0443744874066 246.28998475494996
3 7 330.75318220367427 246.81435142607972
0 8 264.5922254279118 242.13967306853579
1 8 264.88341724612 243.10095179443925
2 8 265.07753721372416 243.75818974348613
3 8 265.06817446606203 243.1795689269757
0 9 341.79420002299406 275.6242013808777
1 9 342.19029178603864 274.779976270961
2 9 342.43414759492305 274.40867158617095
3 9 342.9945801898799 274.91941953839466
0 10 251.43285464888592 238.52097570296846
1 10 251.02613502772198 242.0912981839496
2 10 250.73851257372917 244.298421569737
3 10 249.4391709965102 243.22901727017955
0 11 272.27069787171996 228.1046631503641
1 11 272.9755440330932 228.31106545667492
2 11 273.44441689840176 228.56992403653808
3 11 274.0137150123768 228.15065149167077
0 12 326.2334273552573 260.756426341803
1 12 326.98950956003443 259.2942420986625
2 12 327.4754598843753 258.553714280294
3 12 328.48523426337687 258.96228998728463
0 13 296.3199790613011 294.74868528767666
1 13 296.23783240490286 295.0400504571579
2 13 296.184412043401 295.22546009012353
3 13 296.08380515172183 295.1627857992723
0 14 298.591481511134 247.48180404321715
1 14 299.1142452356984 247.1779865626837
