3 16666 49998
0 0 526.556 287.464
1 0 525.567 279.364
2 0 526.528 272.683
0 1 562.503 191.464
1 1 559.769 186.147
2 1 556.588 185.665
0 2 193.049 291.937
1 2 194.923 299.572
2 2 190.301 307.811
0 3 201.202 364.724
1 3 202.312 371.248
2 3 197.114 378.649
0 4 324.366 247.302
1 4 320.727  232.47
2 4 329.229 214.794
0 5 415.751 335.855
1 5 416.115 333.956
2 5 416.559 332.693
0 6 203.461 364.012
1 6 204.676 370.966
2 6 199.277  378.94
0 7 234.659 208.248
1 7 234.371 206.448
2 7 237.193 203.236
0 8 175.336 251.149
1 8 176.573 254.265
2 8 175.503 256.226
0 9  283.02 184.557
1 9 280.796 176.659
2 9 287.029 167.091
0 10 436.021 230.993
1 10 435.276 230.607
2 10 433.926 232.846
0 11 205.964 362.534
1 11 206.811 367.714
2 11 202.506 373.391
0 12  220.88 365.751
1 12 221.962 371.905
2 12 217.294 378.987
0 13 215.424 354.564
1 13 216.788 361.742
2 13 211.582 370.052
0 14 352.666 70.3838
1 14 346.485 55.1672
2 14 357.397 39.8875
0 15 173.908 285.655
1 15 175.781 292.686
2 15 171.478 299.845
0 16 213.919 354.471
1 16 215.273 361.618
2 16 210.065 369.872
0 17 410.118 343.523
1 17 410.617 342.045
2 17 410.963 341.158
0 18 169.466  336.06
1 18 170.748 342.291
2 18 165.679 348.803
0 19 416.962 337.553
1 19 417.438 336.012
2 19 417.697 335.193
0 20 320.521 289.384
1 20 322.005 296.136
2 20 318.256 304.953
0 21 228.597 366.719
1 21 229.763 373.158
2 21  225.04 380.676
0 22 229.793 364.376
1 22 230.814 370.068
2 22 226.562 376.616
0 23 297.529 365.039
1 23 298.858 370.566
2 23 295.454  377.45
0 24 189.885  298.57
1 24 190.231 299.336
2 24 189.435 298.817
0 25 277.228 161.001
1 25 275.209 154.411
2 25 281.337 146.411
0 26 405.179 314.911
1 26 404.335 309.131
2 26 406.787 303.137
0 27 180.272 360.822
1 27 181.206 366.564
2 27  176.14 372.746
0 28 169.449 249.991
1 28 170.683 252.826
2 28 169.783 254.327
0 29 371.262 367.055
1 29 371.992 367.254
2 29  371.81 367.892
0 30 254.972 198.775
1 30 254.172 195.674
2 30 257.772 191.288
0 31 319.495 350.444
1 31 320.961 356.058
2 31 317.648 363.273
0 32 190.735  278.61
1 32 191.193 279.355
2 32 190.871 278.726
0 33 480.151 179.194
1 33 474.044 160.618
2 33 480.804 142.868
0 34   284.6 361.405
1 34 286.099 368.051
2 34 281.967 376.278
0 35 389.515 227.742
1 35 384.687 209.518
2 35 393.963 189.249
0 36 547.734 258.761
1 36 545.145 246.232
2 36 547.199 235.188
0 37 408.735 319.544
1 37 409.301 319.605
2 37 408.613 320.922
0 38 300.004 378.085
1 38 300.748 380.904
2 38 298.875 384.282
0 39 513.593 90.1527
1 39 505.781 75.4292
2 39 509.148 65.1057
0 40 253.188   366.9
1 40 254.649 374.187
2 40 249.782 383.002
0 41 249.512 364.184
1 41 250.582 369.727
2 41 246.686 376.242
0 42 218.279 299.943
1 42 220.218 308.418
2 42 215.16 318.11
0 43 168.736 341.389
1 43 169.335 344.708
2 43 165.854 347.485
0 44 200.495 335.343
1 44 201.899 342.188
2 44 196.964 349.806
0 45 450.654 305.993
1 45 450.746 303.524
2 45 450.714 302.382
0 46 316.583 356.028
1 46 318.036 361.604
2 46 314.731 368.728
0 47  254.56 222.289
1 47 253.284 216.733
2 47 257.761  209.28
0 48 478.945  195.74
1 48 473.081 176.542
2 48 480.254 157.652
0 49 199.753 226.676
1 49 200.253  226.96
2 49 201.553 225.684
0 50 545.053 265.027
1 50 543.674 257.011
2 50 543.634 251.238
0 51 300.191 120.757
1 51 296.737 110.725
2 51 305.258 99.4548
0 52 300.195 140.108
1 52 297.271 131.577
2 52 304.493 121.943
0 53 294.522 349.524
1 53  296.13 356.407
2 53 291.983 365.026
0 54 240.76 349.04
1 54 242.314 356.649
2 54 237.267 365.716
0 55 169.294 246.114
1 55 170.511 248.755
2 55 169.838 249.981
0 56 422.322 324.574
1 56 422.391 321.758
2 56  423.14 319.564
0 57 189.037 354.231
1 57  189.51 357.516
2 57 186.152 360.535
0 58 319.879 357.352
1 58 321.155 362.027
2 58 318.367 368.019
0 59 317.041 288.034
1 59 318.421 294.364
2 59 314.928 302.606
0 60 320.959  356.95
1 60  322.23 361.571
2 60 319.476 367.504
0 61 285.772  329.17
1 61 287.438 336.527
2 61 283.079 345.665
0 62  169.95 346.062
1 62 170.623 349.941
2 62 166.738  353.49
0 63 427.904 253.417
1 63 423.935 237.405
2 63 431.134 220.114
0 64 236.511 367.083
1 64  237.75 373.714
2 64 233.029 381.547
0 65 224.917 372.071
1 65 224.883 373.248
2 65 223.081 373.914
0 66 272.877 364.359
1 66 274.335 371.131
2 66 270.006 379.429
0 67 397.547 351.094
1 67 398.115 350.076
2 67 398.373 349.559
0 68 219.388 369.852
1 68  219.26 370.628
2 68  217.63 370.723
0 69 395.992 312.213
1 69 394.974 306.038
2 69 397.727 299.465
0 70     333 345.639
1 70  334.38 350.566
2 70 331.482 357.041
0 71 334.405 348.913
1 71 335.748 353.578
2 71 333.002 359.719
0 72 454.448 310.032
1 72 453.823 304.052
2 72 455.629 298.526
0 73 437.899 214.991
1 73 432.557 195.951
2 73 441.018 175.938
0 74 524.282 288.513
1 74 523.377 280.751
2 74 524.246 274.425
0 75 450.676 310.152
1 75 449.99 304.02
2 75 451.941 298.253
0 76 203.353 362.573
1 76 204.378 368.602
2 76 199.536 375.361
0 77 161.809 282.728
1 77 163.695 289.395
2 77 159.557 295.896
0 78 212.675 364.711
1 78 213.669 370.557
2 78 209.061 377.166
0 79 211.515 364.574
1 79 212.739 371.479
2 79 207.498 379.459
0 80 186.467 319.982
1 80  186.62 320.499
2 80 185.478 319.727
0 81 218.026 362.882
1 81 218.892 368.002
2 81 214.811 373.702
0 82 446.415 86.1253
1 82 439.229 71.3349
2 82 445.809 59.0737
0 83 477.192  75.223
1 83 469.073 59.3034
2 83 474.931 46.8804
0 84 242.912 359.001
1 84 243.651 363.065
2 84 240.563 367.596
0 85 287.613  285.12
1 85  287.63 285.372
2 85 287.654 285.557
0 86 451.085  226.27
1 86 450.125 225.316
2 86 448.692 227.205
0 87 557.716 210.973
1 87 553.408 196.606
2 87  555.26 184.785
0 88 441.576 237.554
1 88 436.974 219.939
2 88 444.626 201.265
0 89 192.465 344.418
1 89 192.785 346.608
2 89 190.288 348.185
0 90 229.899   361.4
1 90  229.51 360.586
2 90 229.035 358.696
0 91 324.385 288.952
1 91  325.87 295.698
2 91  322.11 304.562
0 92 183.361 323.433
1 92 183.577 324.339
2 92   182.1 324.047
0 93 452.892 224.919
1 93 447.842 206.408
2 93 455.604 187.139
0 94 397.723 226.165
1 94  392.83 207.852
2 94 401.964 187.671
0 95 174.612  351.07
1 95   175.4 355.715
2 95  171.05 360.344
0 96 326.146 355.027
1 96 327.402  359.45
2 96 324.776 365.182
0 97 294.161 361.484
1 97  295.61 367.646
2 97  291.83 375.327
0 98 409.381 315.721
1 98 408.899 311.374
2 98 410.539 307.217
0 99 239.172 296.676
1 99     241 304.784
2 99 236.347 314.257
0 100 525.187 179.457
1 100 519.413 162.749
2 100 523.444 148.247
0 101  450.61 254.797
1 101  446.85 239.434
2 101 453.164 223.317
0 102 435.675 319.991
1 102 435.439 315.667
2 102 436.775  311.81
0 103 402.033 345.207
1 103 402.613  344.32
2 103 402.716 344.078
0 104 187.949 329.164
1 104 188.091 329.971
2 104 186.617 329.635
0 105 488.047 194.666
1 105 482.276 176.044
2 105 488.819 158.066
0 106 197.098 360.204
1 106 197.425 363.003
2 106 194.391 365.497
0 107 513.874  293.89
1 107 513.058  286.36
2 107 514.174 280.051
0 108 185.244 313.004
1 108 185.559 314.013
2 108 184.261 313.819
0 109 400.462 322.499
1 109 401.128 323.096
2 109 400.252 324.958
0 110 162.217 255.759
1 110 163.655 259.424
2 110 162.056 261.893
0 111 173.671 312.474
1 111 174.395 315.184
2 111 171.975 317.022
0 112 325.268 286.557
1 112  326.67 292.996
2 112 323.091 301.492
0 113 354.856  277.91
1 113 355.968 283.198
2 113 352.859 290.699
0 114 407.928 314.676
